# Time X0 Y0 Z0 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3 X4 Y4 Z4
2.64000010 0.05142358 -0.16417995 0.00000000 -0.11078828 -0.13162613 0.00000000 -0.17054735 0.02265038 0.00000000 -0.07259108 0.15598075 0.00000000 0.09249483 0.14506610 0.00000000
2.65000010 0.03454494 -0.16737406 0.00000000 -0.12014913 -0.12153861 0.00000000 -0.16776007 0.03261815 0.00000000 -0.06585494 0.15770392 0.00000000 0.09474373 0.14223593 0.00000000
2.66000009 0.01754548 -0.16885710 0.00000000 -0.12861726 -0.11080698 0.00000000 -0.16440263 0.04233586 0.00000000 -0.05910048 0.15914677 0.00000000 0.09692098 0.13938044 0.00000000
2.67000008 0.00059626 -0.16863720 0.00000000 -0.13615032 -0.09950857 0.00000000 -0.16049466 0.05177161 0.00000000 -0.05233893 0.16031061 0.00000000 0.09902667 0.13650125 0.00000000
2.68000007 -0.01613443 -0.16673896 0.00000000 -0.14271241 -0.08772314 0.00000000 -0.15605754 0.06089501 0.00000000 -0.04558146 0.16119716 0.00000000 0.10106069 0.13359992 0.00000000
2.69000006 -0.03248265 -0.16320346 0.00000000 -0.14827459 -0.07553253 0.00000000 -0.15111445 0.06967722 0.00000000 -0.03883903 0.16180860 0.00000000 0.10302322 0.13067797 0.00000000
2.70000005 -0.04829054 -0.15808780 0.00000000 -0.15281436 -0.06302010 0.00000000 -0.14568990 0.07809091 0.00000000 -0.03212248 0.16214772 0.00000000 0.10491420 0.12773708 0.00000000
2.71000004 -0.06340761 -0.15146396 0.00000000 -0.15631627 -0.05027017 0.00000000 -0.13980988 0.08611058 0.00000000 -0.02544243 0.16221757 0.00000000 0.10673382 0.12477876 0.00000000
2.72000003 -0.07769231 -0.14341772 0.00000000 -0.15877154 -0.03736747 0.00000000 -0.13350174 0.09371232 0.00000000 -0.01880929 0.16202146 0.00000000 0.10848231 0.12180450 0.00000000
2.73000002 -0.09101328 -0.13404827 0.00000000 -0.16017856 -0.02439659 0.00000000 -0.12679408 0.10087421 0.00000000 -0.01223329 0.16156337 0.00000000 0.11015964 0.11881591 0.00000000
2.74000025 -0.10325043 -0.12346654 0.00000000 -0.16054203 -0.01144141 0.00000000 -0.11971626 0.10757619 0.00000000 -0.00572441 0.16084735 0.00000000 0.11176616 0.11581444 0.00000000
2.75000024 -0.11429618 -0.11179413 0.00000000 -0.15987352 0.00141538 0.00000000 -0.11229897 0.11380008 0.00000000 0.00070762 0.15987825 0.00000000 0.11330212 0.11280156 0.00000000
2.76000023 -0.12405616 -0.09916174 0.00000000 -0.15819100 0.01409283 0.00000000 -0.10457350 0.11952972 0.00000000 0.00705330 0.15866084 0.00000000 0.11476765 0.10977885 0.00000000
2.77000022 -0.13245010 -0.08570813 0.00000000 -0.15551855 0.02651221 0.00000000 -0.09657191 0.12475084 0.00000000 0.01330342 0.15720034 0.00000000 0.11616311 0.10674763 0.00000000
2.78000021 -0.13941242 -0.07157821 0.00000000 -0.15188646 0.03859746 0.00000000 -0.08832671 0.12945127 0.00000000 0.01944902 0.15550245 0.00000000 0.11748885 0.10370946 0.00000000
2.79000020 -0.14489268 -0.05692185 0.00000000 -0.14733075 0.05027568 0.00000000 -0.07987116 0.13362096 0.00000000 0.02548146 0.15357305 0.00000000 0.11874509 0.10066579 0.00000000
2.80000019 -0.14885579 -0.04189212 0.00000000 -0.14189263 0.06147755 0.00000000 -0.07123845 0.13725185 0.00000000 0.03139237 0.15141842 0.00000000 0.11993236 0.09761789 0.00000000
2.81000018 -0.15128244 -0.02664384 0.00000000 -0.13561869 0.07213771 0.00000000 -0.06246230 0.14033793 0.00000000 0.03717373 0.14904499 0.00000000 0.12105084 0.09456734 0.00000000
2.82000017 -0.15216877 -0.01133188 0.00000000 -0.12856011 0.08219512 0.00000000 -0.05357628 0.14287518 0.00000000 0.04281780 0.14645958 0.00000000 0.12210111 0.09151547 0.00000000
2.83000016 -0.15152636 0.00389024 0.00000000 -0.12077257 0.09159346 0.00000000 -0.04461408 0.14486171 0.00000000 0.04831718 0.14366914 0.00000000 0.12308360 0.08846355 0.00000000
2.84000015 -0.14938173 0.01887197 0.00000000 -0.11231537 0.10028123 0.00000000 -0.03560913 0.14629774 0.00000000 0.05366482 0.14068106 0.00000000 0.12399869 0.08541300 0.00000000
2.85000014 -0.14577630 0.03346712 0.00000000 -0.10325152 0.10821228 0.00000000 -0.02659457 0.14718528 0.00000000 0.05885395 0.13750274 0.00000000 0.12484696 0.08236520 0.00000000
2.86000013 -0.14076534 0.04753531 0.00000000 -0.09364717 0.11534598 0.00000000 -0.01760314 0.14752826 0.00000000 0.06387824 0.13414197 0.00000000 0.12562892 0.07932138 0.00000000
2.87000012 -0.13441741 0.06094329 0.00000000 -0.08357078 0.12164715 0.00000000 -0.00866710 0.14733286 0.00000000 0.06873166 0.13060665 0.00000000 0.12634493 0.07628284 0.00000000
2.88000011 -0.12681343 0.07356608 0.00000000 -0.07309318 0.12708661 0.00000000 0.00018195 0.14660686 0.00000000 0.07340853 0.12690474 0.00000000 0.12699580 0.07325089 0.00000000
2.89000010 -0.11804599 0.08528828 0.00000000 -0.06228671 0.13164078 0.00000000 0.00891313 0.14535980 0.00000000 0.07790355 0.12304471 0.00000000 0.12758188 0.07022676 0.00000000
2.90000010 -0.10821773 0.09600496 0.00000000 -0.05122482 0.13529241 0.00000000 0.01749641 0.14360319 0.00000000 0.08221178 0.11903475 0.00000000 0.12810396 0.06721164 0.00000000
2.91000009 -0.09744082 0.10562257 0.00000000 -0.03998170 0.13803002 0.00000000 0.02590269 0.14135017 0.00000000 0.08632874 0.11488344 0.00000000 0.12856248 0.06420683 0.00000000
2.92000008 -0.08583522 0.11405983 0.00000000 -0.02863168 0.13984823 0.00000000 0.03410388 0.13861535 0.00000000 0.09025010 0.11059953 0.00000000 0.12895826 0.06121347 0.00000000
2.93000007 -0.07352757 0.12124822 0.00000000 -0.01724881 0.14074756 0.00000000 0.04207302 0.13541511 0.00000000 0.09397216 0.10619169 0.00000000 0.12929183 0.05823269 0.00000000
2.94000006 -0.06064993 0.12713261 0.00000000 -0.00590633 0.14073446 0.00000000 0.04978434 0.13176723 0.00000000 0.09749139 0.10166884 0.00000000 0.12956387 0.05526572 0.00000000
2.95000005 -0.04733822 0.13167161 0.00000000 0.00532370 0.13982107 0.00000000 0.05721336 0.12769073 0.00000000 0.10080481 0.09703977 0.00000000 0.12977520 0.05231366 0.00000000
2.96000004 -0.03373087 0.13483781 0.00000000 0.01637093 0.13802524 0.00000000 0.06433691 0.12320609 0.00000000 0.10390969 0.09231359 0.00000000 0.12992635 0.04937756 0.00000000
2.97000003 -0.01996748 0.13661776 0.00000000 0.02716709 0.13537002 0.00000000 0.07113328 0.11833496 0.00000000 0.10680369 0.08749920 0.00000000 0.13001820 0.04645859 0.00000000
2.98000026 -0.00618731 0.13701224 0.00000000 0.03764645 0.13188386 0.00000000 0.07758215 0.11310004 0.00000000 0.10948494 0.08260566 0.00000000 0.13005136 0.04355776 0.00000000
2.99000025 0.00747202 0.13603549 0.00000000 0.04774615 0.12759998 0.00000000 0.08366488 0.10752513 0.00000000 0.11195186 0.07764199 0.00000000 0.13002673 0.04067611 0.00000000
